Date,Open,High,Low,Close,Volume
1998-02-03 00:00:00.000 +0200,0.13307,0.14012,0.13307,0.13777,439548201
1998-02-04 00:00:00.000 +0200,0.13589,0.13918,0.13542,0.1373,197583207
1998-02-05 00:00:00.000 +0200,0.1373,0.13918,0.13542,0.13824,270209571
1998-02-06 00:00:00.000 +0200,0.13824,0.14059,0.1373,0.13824,236581786
1998-02-09 00:00:00.000 +0200,0.13824,0.14671,0.13824,0.14436,558325274
1998-02-10 00:00:00.000 +0200,0.14388,0.14718,0.14341,0.14577,487360357
1998-02-11 00:00:00.000 +0200,0.14671,0.14671,0.142,0.14294,220871325
1998-02-12 00:00:00.000 +0200,0.14388,0.14624,0.14341,0.1453,227863252
1998-02-13 00:00:00.000 +0200,0.14435,0.14953,0.14294,0.14718,244451060
1998-02-17 00:00:00.000 +0200,0.14671,0.14859,0.14671,0.14765,201146101
1998-02-18 00:00:00.000 +0200,0.14718,0.15611,0.14718,0.1547,566154732
1998-02-19 00:00:00.000 +0200,0.15705,0.15752,0.15047,0.15329,395673753
1998-02-20 00:00:00.000 +0200,0.15423,0.1547,0.14906,0.15047,371467324
1998-02-23 00:00:00.000 +0200,0.15141,0.16269,0.15047,0.1594,556785260
1998-02-24 00:00:00.000 +0200,0.16034,0.16081,0.15611,0.16034,515021282
1998-02-25 00:00:00.000 +0200,0.16034,0.17116,0.15752,0.16834,808345331
1998-02-26 00:00:00.000 +0200,0.16787,0.17727,0.16457,0.17633,671680625
1998-02-27 00:00:00.000 +0200,0.17539,0.17962,0.16975,0.17774,597641580
1998-03-02 00:00:00.000 +0200,0.17727,0.17727,0.1674,0.17069,451858225
1998-03-03 00:00:00.000 +0200,0.16457,0.17445,0.16269,0.17445,367906737
1998-03-04 00:00:00.000 +0200,0.1721,0.1862,0.1721,0.18432,942462463
1998-03-05 00:00:00.000 +0200,0.17492,0.18244,0.17398,0.18103,727917338
1998-03-06 00:00:00.000 +0200,0.17962,0.18432,0.17586,0.18338,738270489
1998-03-09 00:00:00.000 +0200,0.17868,0.18291,0.16928,0.17116,669750441
1998-03-10 00:00:00.000 +0200,0.17304,0.18432,0.17257,0.1815,810538558
1998-03-11 00:00:00.000 +0200,0.18903,0.19702,0.18479,0.19655,1348037790
1998-03-12 00:00:00.000 +0200,0.19655,0.20313,0.19232,0.20266,826771287
1998-03-13 00:00:00.000 +0200,0.20501,0.20501,0.19749,0.20407,642196357
1998-03-16 00:00:00.000 +0200,0.20407,0.20501,0.19702,0.19984,461667097
1998-03-17 00:00:00.000 +0200,0.19937,0.20078,0.19467,0.19843,478681714
1998-03-18 00:00:00.000 +0200,0.19606,0.20266,0.19606,0.20266,306278380
1998-03-19 00:00:00.000 +0200,0.20219,0.20266,0.19984,0.20125,180119420
1998-03-20 00:00:00.000 +0200,0.20078,0.20219,0.19561,0.19796,238429962
1998-03-23 00:00:00.000 +0200,0.19514,0.19749,0.18526,0.19608,443989948
1998-03-24 00:00:00.000 +0200,0.19843,0.21066,0.19749,0.21018,744718748
1998-03-25 00:00:00.000 +0200,0.20783,0.20877,0.19843,0.20454,429102935
1998-03-26 00:00:00.000 +0200,0.20125,0.20313,0.1989,0.20031,223171303
1998-03-27 00:00:00.000 +0200,0.20031,0.20548,0.19843,0.20313,292394558
1998-03-30 00:00:00.000 +0200,0.20125,0.20689,0.20125,0.20689,288912946
1998-03-31 00:00:00.000 +0200,0.20642,0.20924,0.20501,0.20689,306457540
1998-04-01 00:00:00.000 +0200,0.20642,0.20689,0.2036,0.20689,211380856
1998-04-02 00:00:00.000 +0200,0.20548,0.20642,0.20266,0.20501,219169386
1998-04-03 00:00:00.000 +0200,0.20407,0.20501,0.20172,0.20313,230029918
1998-04-06 00:00:00.000 +0200,0.20313,0.20313,0.19702,0.19749,358442919
1998-04-07 00:00:00.000 +0200,0.1942,0.19561,0.18714,0.19185,311350830
1998-04-08 00:00:00.000 +0200,0.18997,0.19091,0.18573,0.18809,260002565
1998-04-09 00:00:00.000 +0200,0.18856,0.19467,0.18809,0.19232,187854700
1998-04-13 00:00:00.000 +0200,0.19279,0.20078,0.18808,0.1989,330198276
1998-04-14 00:00:00.000 +0200,0.19843,0.20501,0.19843,0.20219,382354610
1998-04-15 00:00:00.000 +0200,0.20454,0.20689,0.20031,0.20642,645321769
1998-04-16 00:00:00.000 +0200,0.22006,0.22288,0.21207,0.21583,1992513100
1998-04-17 00:00:00.000 +0200,0.21536,0.21536,0.20876,0.21017,683993763
1998-04-20 00:00:00.000 +0200,0.20783,0.22194,0.20736,0.21771,596102894
1998-04-21 00:00:00.000 +0200,0.21865,0.21912,0.21442,0.21771,397745943
1998-04-22 00:00:00.000 +0200,0.2163,0.21818,0.20689,0.20689,315456515
1998-04-23 00:00:00.000 +0200,0.20642,0.21818,0.20454,0.2083,526505181
1998-04-24 00:00:00.000 +0200,0.20877,0.21254,0.20689,0.21018,231425073
1998-04-27 00:00:00.000 +0200,0.20125,0.20877,0.20125,0.2083,476673664
1998-04-28 00:00:00.000 +0200,0.20971,0.21066,0.19749,0.20313,275103119
1998-04-29 00:00:00.000 +0200,0.20266,0.20642,0.20125,0.20313,212456875
1998-04-30 00:00:00.000 +0200,0.20595,0.20783,0.2036,0.20548,186963179
1998-05-01 00:00:00.000 +0200,0.20689,0.21254,0.20219,0.21066,209094432
