Date,Open,High,Low,Close,Volume
10/12/2015,14:00,25.179,25.226,25.17,25.203,3914875
10/12/2015,14:30,25.204,25.208,25.166,25.172,4427618
10/12/2015,15:00,25.172,25.208,25.154,25.202,6059867
10/12/2015,15:30,25.2,25.204,25.105,25.136,15319150
10/12/2015,16:00,25.141,25.15,25.098,25.141,4766811
10/12/2015,16:30,25.141,25.163,25.134,25.141,60194
10/12/2015,17:00,25.145,25.15,25.129,25.148,7547
10/12/2015,17:30,25.141,25.145,25.132,25.141,22097
10/12/2015,18:00,25.141,25.15,25.141,25.15,13483
10/12/2015,18:30,25.159,25.161,25.141,25.141,13208
10/12/2015,19:00,25.143,25.145,25.141,25.145,4346
10/12/2015,19:30,25.15,25.152,25.145,25.152,19066
10/13/2015,04:00,25.017,25.017,24.938,24.974,5083
10/13/2015,04:30,24.961,24.979,24.961,24.979,4790
10/13/2015,05:00,24.954,24.954,24.954,24.954,3551
10/13/2015,05:30,24.967,25.003,24.967,24.999,2220
10/13/2015,06:00,25.01,25.01,24.988,25.003,2220
10/13/2015,06:30,24.988,25.003,24.988,25.003,14235
10/13/2015,07:00,25.021,25.035,25.01,25.024,27398
10/13/2015,07:30,25.012,25.012,24.994,25.001,41858
10/13/2015,08:00,25.006,25.051,24.983,25.021,602790
10/13/2015,08:30,25.021,25.037,24.988,24.994,163647
10/13/2015,09:00,24.999,25.028,24.961,24.967,247379
10/13/2015,09:30,24.965,25.199,24.934,25.171,20054928
10/13/2015,10:00,25.171,25.244,25.062,25.231,14695784
10/13/2015,10:30,25.231,25.323,25.204,25.321,11921635
10/13/2015,11:00,25.319,25.332,25.208,25.226,12041480
10/13/2015,11:30,25.224,25.229,25.166,25.193,9558918
10/13/2015,12:00,25.193,25.233,25.145,25.217,5827877
10/13/2015,12:30,25.217,25.249,25.163,25.169,5733718
10/13/2015,13:00,25.167,25.204,25.143,25.197,6138478
10/13/2015,13:30,25.197,25.231,25.161,25.197,5100325
10/13/2015,14:00,25.198,25.235,25.179,25.204,5724785
10/13/2015,14:30,25.204,25.28,25.175,25.278,7836421
10/13/2015,15:00,25.277,25.278,25.152,25.191,8259657
10/13/2015,15:30,25.191,25.206,25.134,25.184,14230739
10/13/2015,16:00,25.184,25.195,25.166,25.186,5420544
10/13/2015,16:30,25.17,25.17,25.168,25.168,14650
10/13/2015,17:00,25.175,25.175,25.152,25.152,68294
10/13/2015,17:30,25.152,25.163,25.143,25.15,22596
10/13/2015,18:00,25.15,25.15,25.075,25.075,40263
