dirs,Model,Train Time (s)_mean,Train Time (s)_std,Epochs Trained_mean,Epochs Trained_std,MSE_mean,MSE_std,MAE_mean,MAE_std,MAPE (%)_mean,MAPE (%)_std,MDA (%)_mean,MDA (%)_std
"(5, 13, 21)",dlinear,21.4400,2.2450,14.0000,1.7321,31.7004,0.0663,4.4307,0.0066,16.9412,0.0374,77.8467,0.3164
"(5, 13, 21)",nbeats,95.8333,33.5211,14.0000,5.1962,39.9241,5.0237,5.0106,0.3575,18.0845,0.4385,60.2967,2.6700
"(5, 13, 21)",tft,121.6633,0.2026,5.0000,0.0000,64.0255,6.6854,6.3875,0.2649,24.5934,1.7585,41.8767,4.4396
"(5, 13, 21)",tsmixer,46.2633,7.9511,14.0000,2.6458,32.7174,0.7457,4.5126,0.0459,17.2274,0.2115,68.8167,1.7721
"(6, 14, 22)",deepAR,645.0567,183.0430,31.3333,9.5044,91.8690,37.9448,7.7680,2.0515,33.2006,8.3103,73.3700,4.7537
"(6, 14, 22)",dlinear,27.4900,4.6468,12.6667,2.3094,36.1872,0.7322,4.8855,0.0556,18.3327,0.0361,78.4633,0.0751
"(6, 14, 22)",nbeats,127.1933,13.4636,18.6667,2.0817,39.2278,1.1609,5.0402,0.0774,18.9010,0.1195,64.0800,2.5627
"(6, 14, 22)",tft,227.4867,44.1616,8.0000,1.7321,57.1638,0.8348,6.0519,0.1216,22.7505,1.2795,41.6967,3.9889
"(6, 14, 22)",tsmixer,36.2867,1.1690,11.0000,0.0000,36.2463,0.4948,4.8830,0.0352,18.4158,0.1422,71.7600,1.1958
"(7, 15, 23)",deepAR,244.0200,31.2630,13.3333,1.5275,150018.6103,16920.6739,300.5373,15.4873,8.7720,0.7215,75.7933,2.6269
"(7, 15, 23)",dlinear,780.4367,117.3822,20.0000,3.0000,61739.8257,79.9736,186.5521,0.1478,5.5575,0.0048,79.0067,0.0252
"(7, 15, 23)",tft,5460.7833,1228.2297,8.3333,2.0817,187227.9833,48949.4461,318.5091,34.9393,9.2053,1.0304,60.1167,1.7568
"(7, 15, 23)",tsmixer,400.5200,58.7914,25.6667,5.1316,60568.9258,2995.9090,185.7623,3.8744,5.4286,0.0903,73.2300,0.1510
"(8, 16, 24)",deepAR,373.6800,35.5154,15.6667,1.5275,170944.9858,18703.4655,316.6754,23.6633,9.2248,1.1421,77.9567,0.7984
"(8, 16, 24)",dlinear,665.0833,88.0252,15.0000,1.0000,59285.5380,144.5588,182.6678,0.1579,5.4094,0.0008,79.1633,0.0643
"(8, 16, 24)",tft,11626.2433,7799.3763,12.6667,4.9329,143464.7374,57245.5535,283.4227,62.1444,8.1705,1.7069,54.5433,8.3507
"(8, 16, 24)",tsmixer,303.4133,143.9494,20.3333,6.1101,66857.8792,4109.3368,191.9509,6.4429,5.6222,0.2061,74.0200,1.4773
